"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2018-08-12,0,0,162299.38513187,11575.0313916071,170823.311911751,173,25728.2,7282484.615,0,0.744751099,0,39.39857143,7370670.43,7400748.188,13.17142857,0.407265057,0.424058883,201833,42046827.5734709
2018-08-19,0,0,0,10644.6022238649,184649.81225353,173,25888.8,5976668.551,0,0.748386244,0,45.78714286,6307578.517,5729692.124,23.32857143,0.438910599,0.420915512,201834,40477068.7099549
2018-08-26,727834.100977193,0,0,3336.20116325011,468040.483920515,173,26167.9,6877619.64,0,0.825928579,0,53.89571429,8585271.972,7899164.669,24.38571429,0.441593174,0.504784522,201835,44325965.3932298
2018-09-02,1783205.15430425,0,0,0,556692.181237001,173,26073.7,12676155.11,0,0.726737337,0,50.96571429,20132675.28,16943269.33,19.17142857,0.419241583,0.409438588,201836,44147763.7725378
2018-09-09,1139632.83972197,0,180727.591563778,0,630497.325213936,173,26211.1,8510640.761,0,0.737047353,0,47.39857143,18237539.65,12298667.26,11.58571429,0.429182298,0.358165036,201837,45146124.1977366
2018-09-16,1524044.60542167,0,284976.847271656,0,601844.274352749,173,26769.2,14396602.29,0,0.722104989,0,51.09428571,20746666.61,17989465.9,15.64285714,0.409305106,0.431521005,201838,43275618.8825422
2018-09-23,799342.499439194,0,265050.985345069,0,343801.891914204,173,26709.9,13530802.04,1,0.800305998,0,58.26,17440018.46,15230575.61,6.185714286,0.434932548,0.418669679,201839,43202555.0946405
2018-09-30,1682075.74496517,0,301408.215801813,0,635223.200748721,171,26951.8,22171242.4,0,0.754836282,0,57.86571429,3427266.369,19732314.53,9.257142857,0.425915049,0.400997938,201840,46261217.7490895
2018-10-07,1275537.81216501,178345.653540538,218530.877771636,0,684649.563482501,171,26539.9,17960002.44,0,0.774445575,0,44.83142857,4811811.3,16316115.18,4,0.467349798,0.491313336,201841,46510895.2140241
2018-10-14,1786852.6316333,151176.801984717,256861.722338399,0,607643.069050312,171,25817.7,23304505.16,0,0.715829969,0,53.00571429,4848929.857,22872857.53,7.885714286,0.516870818,0.431777893,201842,43672206.2402046
2018-10-21,2260.24103117842,0,139829.394539112,0,1464205.0830762,171,25561.3,18627249.4,1,0.799995444,0,71.50571429,6967222.993,17241645.54,30.32857143,0.428127266,0.402391192,201843,44187411.1391086
2018-10-28,0,0,0,51401.3107292813,579247.498065029,169,25579,11618838.71,1,0.764837231,0,58.60428571,25627714.06,15273075.75,35.18571429,0.477397133,0.459504215,201844,44224807.1159723
2018-11-04,0,0,72715.4739289052,92530.5945912276,488494.966304037,168,26277.8,7933395.477,0,0.8174005,0,56.24571429,23111942.22,4714853.815,410.8857143,0.428150353,0.402191448,201845,43588701.047729
2018-11-11,0,0,126854.744315533,98283.177313043,709573.877561562,168,25966.7,8152175.056,1,0.756694183,0,60.23428571,19184167.22,5342532.513,3.114285714,0.447090833,0.497485795,201846,42813735.8171435
2018-11-18,0,0,64966.5353044196,86934.1566779074,646895.196151856,168,25392.6,24665797.75,0,0.790445496,0,69.34142857,12094900.93,24511094.62,6.214285714,0.412504873,0.400433734,201847,43821793.9158474
2018-11-25,0,0,290712.342906776,43383.5876530267,446640.011128539,166,25549.7,25792620.33,0,0.813717951,0,72.41428571,4174630.19,21817670.12,12.51428571,0.438560179,0.485796388,201848,41047852.3893303
2018-12-02,0,0,0,0,205242.835826295,162,25980.2,20769642.6,0,0.80642953,0,73.92571429,4662141.206,15221445.5,31.35714286,0.399914892,0.424489783,201849,43224627.5751432
2018-12-09,0,0,0,0,127449.119167502,162,24828.3,25080839.29,0,0.709935882,0,74.28142857,4186776.522,20012323.59,18.82857143,0.487332554,0.440106542,201850,39105294.5500289
2018-12-16,0,0,0,0,366881.1614864,162,24088.1,20113032.16,0,0.823078347,0,74.54428571,3548563.197,18890312.73,33.41428571,0.441093188,0.555085636,201851,41063287.5836889
2018-12-23,0,0,0,0,349449.037249638,162,23381.9,17151137.69,3,0.782701751,1,72.64714286,858405.3789,14386069.55,26.14285714,0.412317651,0.47511877,201852,33242287.7183851
2018-12-30,0,0,0,0,185767.585779899,157,28664.7,2557653.551,1,0.804546497,0,74.045,1177147.859,2492719.509,19.575,0.456212154,0.575958564,201901,44014613.4941736
2019-01-06,0,0,0,0,165332.018972928,162,24014.8,7756369.06,0,0.754971783,0,79.17714286,10779408.69,8234681.535,31.34285714,0.441706785,0.517772277,201902,40355799.1571073
